condition,model,tier,avg_input_tokens,avg_output_tokens,avg_latency_ms,mean_accuracy_pct,input_cost_per_q_credits,output_cost_per_q_credits,total_cost_per_q_credits,cost_per_correct_answer_credits
T5_SONNET,sonnet,T5,61469,1333,29284,84.41,0.1844,0.0600,0.2444,0.2896
T10_SONNET,sonnet,T10,60490,1292,28299,85.41,0.1815,0.0581,0.2396,0.2805
T20_SONNET,sonnet,T20,71272,1571,32120,69.96,0.2138,0.0707,0.2845,0.4066
T5_HAIKU,haiku,T5,35370,1178,15542,78.74,0.0354,0.0059,0.0413,0.0524
T10_HAIKU,haiku,T10,35525,1406,18355,79.47,0.0355,0.0070,0.0425,0.0535
T20_HAIKU,haiku,T20,36930,1295,61384,69.07,0.0369,0.0065,0.0434,0.0629
T5_GPTMINI,gptmini,T5,23984,571,19776,76.78,0.0038,0.0023,0.0061,0.0080
T10_GPTMINI,gptmini,T10,31190,581,21617,74.05,0.0050,0.0023,0.0073,0.0099
T20_GPTMINI,gptmini,T20,34375,616,43287,65.68,0.0055,0.0025,0.0080,0.0122
